Dataset,Algorithm,Reward Function,Metric,Value
Retailrocket,RL Agent n=100,"click=3, addtocart=8, purchase=10",MRR@2: ,5.415748998086435e-05
Retailrocket,RL Agent n=100,"click=3, addtocart=8, purchase=10",MRR@3: ,6.619248775438977e-05
Retailrocket,RL Agent n=100,"click=3, addtocart=8, purchase=10",MRR@4: ,6.619248775438977e-05
Retailrocket,RL Agent n=100,"click=3, addtocart=8, purchase=10",MRR@5: ,6.619248775438977e-05
Retailrocket,RL Agent n=100,"click=3, addtocart=8, purchase=10",MRR@10: ,6.619248775438977e-05
Retailrocket,RL Agent n=100,"click=3, addtocart=8, purchase=10",MRR@15: ,7.740992324160177e-05
Retailrocket,RL Agent n=100,"click=3, addtocart=8, purchase=10",MRR@20: ,8.53276849347106e-05
Retailrocket,RL Agent n=100,"click=3, addtocart=8, purchase=10",HitRate@1: ,3.6104993320576236e-05
Retailrocket,RL Agent n=100,"click=3, addtocart=8, purchase=10",HitRate@2: ,7.220998664115247e-05
Retailrocket,RL Agent n=100,"click=3, addtocart=8, purchase=10",HitRate@3: ,0.0001083149799617287
Retailrocket,RL Agent n=100,"click=3, addtocart=8, purchase=10",HitRate@4: ,0.0001083149799617287
Retailrocket,RL Agent n=100,"click=3, addtocart=8, purchase=10",HitRate@5: ,0.0001083149799617287
