Dataset,Algorithm,Reward Function,Metric,Value
Retailrocket,RL Agent n=5,"click=0, addtocart=8, purchase=10",MRR@2: ,0.0325125464851789
Retailrocket,RL Agent n=5,"click=0, addtocart=8, purchase=10",MRR@3: ,0.03571385589293678
Retailrocket,RL Agent n=5,"click=0, addtocart=8, purchase=10",MRR@4: ,0.03727539685405171
Retailrocket,RL Agent n=5,"click=0, addtocart=8, purchase=10",MRR@5: ,0.038293557665692014
Retailrocket,RL Agent n=5,"click=0, addtocart=8, purchase=10",MRR@10: ,0.039886934061393466
Retailrocket,RL Agent n=5,"click=0, addtocart=8, purchase=10",MRR@15: ,0.04039249173559759
Retailrocket,RL Agent n=5,"click=0, addtocart=8, purchase=10",MRR@20: ,0.040652198200387256
Retailrocket,RL Agent n=5,"click=0, addtocart=8, purchase=10",HitRate@1: ,0.024948550384518178
Retailrocket,RL Agent n=5,"click=0, addtocart=8, purchase=10",HitRate@2: ,0.04007654258583962
Retailrocket,RL Agent n=5,"click=0, addtocart=8, purchase=10",HitRate@3: ,0.0496804708091129
Retailrocket,RL Agent n=5,"click=0, addtocart=8, purchase=10",HitRate@4: ,0.05592663465357259
Retailrocket,RL Agent n=5,"click=0, addtocart=8, purchase=10",HitRate@5: ,0.06101743871177384
