Dataset,Algorithm,Reward Function,Metric,Value
Retailrocket,RL Agent n=100,"click=0, addtocart=8, purchase=10",MRR@2: ,0.0
Retailrocket,RL Agent n=100,"click=0, addtocart=8, purchase=10",MRR@3: ,0.0
Retailrocket,RL Agent n=100,"click=0, addtocart=8, purchase=10",MRR@4: ,0.0
Retailrocket,RL Agent n=100,"click=0, addtocart=8, purchase=10",MRR@5: ,0.0
Retailrocket,RL Agent n=100,"click=0, addtocart=8, purchase=10",MRR@10: ,7.622165256566094e-06
Retailrocket,RL Agent n=100,"click=0, addtocart=8, purchase=10",MRR@15: ,1.3311436931323562e-05
Retailrocket,RL Agent n=100,"click=0, addtocart=8, purchase=10",MRR@20: ,2.0081123178931607e-05
Retailrocket,RL Agent n=100,"click=0, addtocart=8, purchase=10",HitRate@1: ,0.0
Retailrocket,RL Agent n=100,"click=0, addtocart=8, purchase=10",HitRate@2: ,0.0
Retailrocket,RL Agent n=100,"click=0, addtocart=8, purchase=10",HitRate@3: ,0.0
Retailrocket,RL Agent n=100,"click=0, addtocart=8, purchase=10",HitRate@4: ,0.0
Retailrocket,RL Agent n=100,"click=0, addtocart=8, purchase=10",HitRate@5: ,0.0
